id	examNumber	questionNumber	category	topic	type	difficulty	question	optionA	optionB	optionC	optionD	optionE	answerIndex	correctAnswer	explanation	source	sourcePhoto	answerPhoto	image	imageAlt	imageCaption
"exam4-089"	"4"	"89"	"Radiation Safety"	"Radiation Safety"	"protocol"	"4"	"According to the NRC, how often must survey meters be calibrated?"	"daily"	"before each use"	"annually"	"monthly"	"bi-annually"	"2"	"annually"	"U.S. Nuclear Regulatory Commission, 2003 (10 CFR 35.61), and Siegel, 2004; pp. 43-45. According to NRC regulations, survey meters must be calibrated before first use, annually, and after each repair."	"Source photo: Answers/Exam 4/IMG_1237.jpeg."	"Question photos/Questions/Exam 4/IMG_1159.jpeg"	"Question photos/Answers/Exam 4/IMG_1237.jpeg"	""	""	""
"exam4-090"	"4"	"90"	"Instrumentation & QC"	"Uniformity QC"	"protocol"	"5"	"On the basis of this flood image, which of the following should the technologist do?"	"Reacquire the flood for more counts."	"There is non-uniformity; troubleshoot the problem."	"Arrange for service immediately."	"Perform Chi-square test."	"There is uniformity; use as usual."	"1"	"There is non-uniformity; troubleshoot the problem."	"This flood demonstrates significant non-uniformity. Therefore, the technologist should first confirm that the image was acquired on the correct radionuclide and window settings. A repeat image should be acquired if the settings were incorrect. If the repeat image also shows the non-uniformity, service should be requested. Patient studies must not be acquired on this instrument until the problem is corrected."	"Source: Bernier, et al., 1994; pp. 87-89."	"Question photos/Questions/Exam 4/IMG_1159.jpeg"	"Question photos/Answers/Exam 4/IMG_1237.jpeg"	"assets/question-bank/retake/exam4-090/e4q90.jpg"	"Graphic for Exam 4, Question 90."	""
"exam4-091"	"4"	"91"	"Instrumentation & QC"	"SPECT"	"protocol"	"1"	"The standard of practice dictates that the center of rotation (COR) offset correction be performed how frequently on SPECT cameras?"	"weekly"	"daily"	"monthly"	"quarterly"	"hourly"	"0"	"weekly"	"weekly. It is recommended that the COR offset correction be performed at least"	"Source: English, 1995; p. 44."	"Question photos/Questions/Exam 4/IMG_1160.jpeg"	"Question photos/Answers/Exam 4/IMG_1237.jpeg"	""	""	""
"exam4-092"	"4"	"92"	"Instrumentation & QC"	"Uniformity QC"	"protocol"	"2"	"How often should a uniformity flood be acquired on a scintillation camera?"	"weekly"	"daily"	"monthly"	"quarterly"	"hourly"	"1"	"daily"	"The standard of practice calls for acquisition of a uniformity flood every day the camera is used, prior to performing patient studies."	"Source: Bernier, et al., 1994; pp. 88-89."	"Question photos/Questions/Exam 4/IMG_1160.jpeg"	"Question photos/Answers/Exam 4/IMG_1237.jpeg"	""	""	""
"exam4-093"	"4"	"93"	"Image Production"	"Bone Imaging"	"image-interpretation"	"5"	"Static frame mode acquisition is the most appropriate type of image acquisition for which of the following procedures?"	"first phase of a three-phase bone scan"	"thyroid imaging"	"left ventricular ejection fraction determination"	"renal function imaging"	"bone imaging"	"1"	"thyroid imaging"	"A static acquisition is performed in studies where the radiopharmaceutical localizes and remains in the area of interest for a period of time long enough for imaging to be completed. The radiopharmaceutical is fixed in the area of interest during the acquisition. For example, the thyroid is imaged after sufficient time has passed for the tracer to be localized in the gland. Data are acquired either for a preset number of counts or for a preset time. Dynamic frame mode acquisitions are used in studies where movement of the tracer is important to document. The blood flow phase (first phase) of a three-phase bone scan and renal function studies are examples of dynamic frame mode acquisitions. A left ventricle ejection fraction (LVEF) determination uses a gated technique, which is a variation of a dynamic acquisition."	"Source: Saha, 2004; pp. 135-138."	"Question photos/Questions/Exam 4/IMG_1160.jpeg"	"Question photos/Answers/Exam 4/IMG_1237.jpeg"	""	""	""
"exam4-094"	"4"	"94"	"Radiation Safety"	"Uniformity QC"	"concept"	"4"	"Which of the following radionuclide sources is used to acquire an extrinsic uniformity flood?"	"99mTc point source with collimator removed"	"57Co sheet source with collimator removed"	"99mTc point source with collimator in place"	"131I point source with collimator removed"	"57Co sheet source with collimator in place"	"4"	"57Co sheet source with collimator in place"	"English, 1995; pp. 37-40. The collimator must be in place when uniformity correction acquisitions are performed because collimators have inherent variations that differ from one collimator to another. Because an extrinsic flood is being acquired, a sheet source is required. A point source imaged with a collimator cannot distribute photons evenly over the crystal."	"Source: Early and Sodee, 1995; p. 81, and"	"Question photos/Questions/Exam 4/IMG_1160.jpeg"	"Question photos/Answers/Exam 4/IMG_1237.jpeg"	""	""	""
"exam4-095"	"4"	"95"	"Instrumentation & QC"	"Uniformity QC"	"concept"	"5"	"It is recommended that high-count uniformity correction flood maps be acquired how frequently?"	"daily"	"weekly"	"monthly"	"quarterly"	"hourly"	"1"	"weekly"	"For uniformity correction maps, it is recommended that high-count flood images be acquired weekly. These flood images should not be confused with daily uniformity flood images that are acquired to check detector response."	"Source: Bernier, et al., 1994; pp. 91-92."	"Question photos/Questions/Exam 4/IMG_1160.jpeg"	"Question photos/Answers/Exam 4/IMG_1237.jpeg"	""	""	""
"exam4-096"	"4"	"96"	"Instrumentation & QC"	"Bone Imaging"	"concept"	"1"	"Which of the following will increase the resolution of a ""spot view' bone image obtained with a parallel-hole collimator?"	"moving the camera closer to the patient's body"	"increasing the pulse-height analyzer window width"	"using a high-sensitivity collimator instead of LEAP collimator"	"using fewer shades of gray to display the image"	"using a slant hole collimator"	"0"	"moving the camera closer to the patient's body"	"The resolution of a parallel-hole collimator is greatest at its surface, so the closer the collimator is to the patient, the better the resolution will be. Increasing the window width will admit more scatter, decreasing the resolution. A high-sensitivity collimator has larger holes that admit photons that are traveling at greater angles. This decreases resolution, because the data are recorded as if the photon traveled on a straight line directly up from its origin to the crystal. If the number of shades of gray in the grayscale is decreased, there will be less detail and, therefore, less resolution."	"Source: Christian, et al., 2004; pp. 66-67."	"Question photos/Questions/Exam 4/IMG_1160.jpeg"	"Question photos/Answers/Exam 4/IMG_1237.jpeg"	""	""	""
"exam4-097"	"4"	"97"	"Radiation Safety"	"Radiation Safety"	"concept"	"2"	"If a Butterworth filter is applied to an image and the order of the filter remains constant, which of the following cutoff frequencies (the frequency at which the filter magnitude drops below 0.5) will result in the smoothest image?"	"0.50 cycles/pixel"	"0.42 cycles/pixel"	"0.33 cycles/pixel"	"0.15 cycles/pixel"	"0.12 cycles/pixel"	"3"	"0.15 cycles/pixel"	"frequency of 0.5 cycles/pixel results in an image with the most detail and the most high-frequency noise. At the other extreme, a cutoff frequency of 0.15 cycles/pixel removes many of the high frequencies, resulting in a very smooth image without much detail."	"Source: Christian, et al., 2004; pp. 118-119, 258-259. The lower the cutoff frequency, the more high frequencies (which provide image detail) are removed from an image. Therefore, a cutoff fre-"	"Question photos/Questions/Exam 4/IMG_1160.jpeg"	"Question photos/Answers/Exam 4/IMG_1237.jpeg"	""	""	""
"exam4-098"	"4"	"98"	"Instrumentation & QC"	"PET"	"image-interpretation"	"4"	"When a high activity of a radionuclide is used for a PET scan, image quality is degraded because:"	"deadtime decreases"	"random events increase"	"attenuation increases"	"noise increases"	"specificity decreases"	"1"	"random events increase"	"As activity increases, so does the number of events. With a large number of events occurring almost simultaneously, there is a greater likelihood that unrelated photons (randoms) will be mistaken as coincident pairs. Deadtime remains the same, but more events occur within that time frame and, therefore, go uncounted. Attenuation is not dependent upon activity; it is present regardless of the amount of activity administered. However, with a higher activity, more ""good"" events are going to be registered because more of them occur. Noise decreases with an increase in activity because, as the number of events increases, the effect of randomness (noise) decreases."	"Source: Turkington, 2001; pp. 6-8."	"Question photos/Questions/Exam 4/IMG_1160.jpeg"	"Question photos/Answers/Exam 4/IMG_1237.jpeg"	""	""	""
"exam4-099"	"4"	"99"	"Instrumentation & QC"	"Instrumentation & QC"	"concept"	"4"	"If a 20% window is set around a centerline of 364 keV, what energies will be accepted by the pulse-height analyzer?"	"291-437 keV"	"328-400 keV"	"344-384 keV"	"354-374 keV"	"364-384 keV"	"1"	"328-400 keV"	"The energies accepted within a window centered around a given energy are calculated as follows: energies within window = centerline energy energy (keV) x % window as decimal In this example: 364 keV + 364 x 0.2 = 364 keV + 36 364 keV 36 = 328 - 400 keV"	"Source: Wells, 1999; p. 140."	"Question photos/Questions/Exam 4/IMG_1160.jpeg"	"Question photos/Answers/Exam 4/IMG_1238.jpeg"	""	""	""
"exam4-100"	"4"	"100"	"Instrumentation & QC"	"Collimators"	"concept"	"5"	"A technologist changes the collimator on a gamma camera from a low-energy all-purpose collimator to a high-resolution collimator. If the same number of counts is acquired, how will the acquisition time change when the high-resolution collimator is used?"	"The acquisition time will be the same with both collimators."	"The acquisition time will increase."	"The acquisition time will decrease."	"The effect on acquisition time is unpredictable."	"The effect on the acquisition time is determined by the sensitivity of the instrument."	"1"	"The acquisition time will increase."	"Yester, 2001. Because the holes are smaller and the septa are often longer in a high-resolution collimator, fewer photons pass through the channels and strike the crystal. This decreases sensitivity. Therefore, it would take more time to acquire the same number of counts using a high-resolution collimator."	"Source photo: Answers/Exam 4/IMG_1238.jpeg."	"Question photos/Questions/Exam 4/IMG_1160.jpeg"	"Question photos/Answers/Exam 4/IMG_1238.jpeg"	""	""	""
"exam5-001"	"5"	"1"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"1"	"A [99mTc] oxidronate (HDP) image of the region shown would demonstrate all of the following structures except the:"	"costochondral junctions"	"acromion processes"	"clavicles"	"sternum"	"humerus"	"1"	"acromion processes"	"The diagram depicts an anterior view of the rib cage and proximal upper extremities. The acromion processes would be demonstrated on a posterior view of the upper thorax that includes the scapulae."	"Source: Christian, et al., 2004; pp. 497-498."	"Question photos/Questions/Exam 5/IMG_1161.jpeg"	"Question photos/Answers/Exam 5/IMG_1239.jpeg"	"assets/question-bank/retake/exam5-001/e5q1.jpg"	"Graphic for Exam 5, Question 1."	""
"exam5-002"	"5"	"2"	"Patient Care"	"Bone Imaging"	"concept"	"2"	"For a patient undergoing bone imaging, which of the following information from the medical history is relevant to the interpretation of the bone image?"	"splenectomy 5 years ago"	"abdominal surgery 10 days ago"	"radiation therapy to the breast 6 months ago"	"gallbladder surgery a year ago"	"results of previous bone imaging procedures"	"4"	"results of previous bone imaging procedures"	"Results of previous bone imaging procedures performed with nuclear medicine or another imaging modality may provide additional information not demonstrated on the current image or indications that the condition has improved or worsened. Healing soft tissue, such as that resulting from recent abdominal surgery, will concentrate bone tracer in an unexpected area. External beam radiation therapy can cause photopenic areas—areas of decreased tracer activity—on the bone image in the area where the therapy was delivered. All of this information will help the physician explain the findings on a bone image."	"Source: Cevola, 1993; p. 12."	"Question photos/Questions/Exam 5/IMG_1161.jpeg"	"Question photos/Answers/Exam 5/IMG_1239.jpeg"	""	""	""
"exam5-003"	"5"	"3"	"Radiopharmaceuticals"	"Lung Imaging"	"concept"	"3"	"If a patient is injected with [99mTc] MAA while in an upright position, which of the following is most likely to be seen on the perfusion lung images?"	"increased tracer activity in the lung apices"	"decreased tracer activity in the lung bases"	"decreased tracer activity in the lung apices"	"decreased tracer activity throughout both lungs"	"the heart"	"2"	"decreased tracer activity in the lung apices"	"uted in the bases of the lungs than in the apices. In the supine position, although there is a blood flow gradient from anterior to posterior, there is a more homogeneous distribution of particles from apex to base."	"Source: Christian, et al., 2004; pp. 389-390, 392-394. If the patient is in the upright position, the apices of the lung receive very little blood flow. Consequently, more MAA particles will be distrib-"	"Question photos/Questions/Exam 5/IMG_1161.jpeg"	"Question photos/Answers/Exam 5/IMG_1239.jpeg"	""	""	""
"exam5-004"	"5"	"4"	"Radiopharmaceuticals"	"MAA / Pulmonary Perfusion"	"protocol"	"4"	"If the usual adult dosage of [99mTc] MAA is 4 mCi, a patient who has had a right pneumonectomy should receive what dosage?"	"1 mCi "	"3 mCi"	"2 mCi"	"5 mCi"	"4 mCi"	"2"	"2 mCi"	"For an adult patient who has only one lung and, therefore, half the lung vasculature, half the usual dosage is recommended. This reduces the number of particles to approximately half of what is administered in a full dosage."	"Source: Christian, et al., 2004; p. 392."	"Question photos/Questions/Exam 5/IMG_1161.jpeg"	"Question photos/Answers/Exam 5/IMG_1239.jpeg"	""	""	""
"exam5-005"	"5"	"5"	"Clinical Procedures"	"Clinical Procedures"	"protocol"	"5"	"Which one of the following steps would be appropriate during a standby-assist wheelchair transfer?"	"The wheelchair should be perpendicular to the imaging table."	"The wheelchair footrests should be out of the way."	"The wheelchair should be placed parallel to the imaging table."	"The wheelchair should be unlocked."	"The transfer should take place in the presence of a physician."	"1"	"The wheelchair footrests should be out of the way."	"The footrests should always be moved out of the way. The wheelchair must be properly aligned to the imaging table (depending on patient condition) and locked."	"Source: Adler and Carlton, 2003; p. 137."	"Question photos/Questions/Exam 5/IMG_1161.jpeg"	"Question photos/Answers/Exam 5/IMG_1239.jpeg"	""	""	""
"exam5-006"	"5"	"6"	"Patient Care"	"Infection Imaging"	"concept"	"1"	"Patient preparation for infection imaging using tagged white blood cells includes:"	"fasting for at least 4 hr with a blood glucose level below 120 mg/dL"	"lab work and information concerning recent blood transfusions"	"discontinuation of certain medications"	"smoking cessation for at least 24 hr"	"fasting for at least 4 hr with a blood glucose level below 200 mg/dL"	"1"	"lab work and information concerning recent blood transfusions"	"No special preparation is needed for a white blood cell infection imaging other than a possible interference if the patient has had a recent blood transfusion. d Christian, et al., 2004; p. 363. A pinhole collimator provides an image with better resolution and offers the ability to obtain oblique views. A parallel-hole collimator used with electronic zoom can provide a magnified image with good resolution."	"Source: Shackett, 2009; p. 255."	"Question photos/Questions/Exam 5/IMG_1161.jpeg"	"Question photos/Answers/Exam 5/IMG_1239.jpeg"	""	""	""
"exam5-007"	"5"	"7"	"Instrumentation & QC"	"Thyroid Imaging"	"protocol"	"2"	"Thyroid imaging may be performed with which of the following collimators?"	"flat field"	"pinhole"	"parallel hole"	"pinhole or parallel hole"	"slant hole"	"3"	"pinhole or parallel hole"	"Thyroid imaging may be performed with either a pinhole collimator or a parallel-hole collimator, depending on the required field of view and resolution."	"Source photo: IMG_1239.jpeg."	"Question photos/Questions/Exam 5/IMG_1161.jpeg"	"Question photos/Answers/Exam 5/IMG_1239.jpeg"	""	""	""
"exam5-008"	"5"	"8"	"Image Production"	"Thyroid Imaging"	"calculation"	"4"	"In performing a thyroid uptake, a technologist collects the thyroid counts 5 cm from the surface of the patient's neck and the standard counts 20 cm from the surface of the neck phantom. What is the effect on the thyroid uptake value calculated from this data?"	"The uptake value will be falsely increased."	"The uptake value will be falsely decreased."	"The uptake value will be accurate."	"The results are unpredictable."	"There is no effect."	"0"	"The uptake value will be falsely increased."	"Recall that, as a point source is moved closer to the face of a flat-field collimator, more counts are collected. If the standard represents the total amount of activity administered to the patient, the counts collected from the patient's neck represent a portion of the total amount of activity that concentrated in the thyroid gland. It is important, therefore, based on the response of the detector at a given distance, to count both the standard and the patient at the same distance. For example, suppose the standard and the patient were both counted at 20 cm, and 20,000 net cpm and 5,000 net cpm were obtained, respectively. The patient's uptake is: 5000 cpm neck counts × 100 = 25% standard counts - x 100 = 20,000 cpm If the patient were counted at 5 cm instead of 20 cm, more counts would be collected (i.e., 10,000 cpm). Then, the patient's uptake is falsely increased: 10,000 cpm neck counts × 100 = 50% standard counts - x 100 = 20,000 cpm aEarly and Sodee, 1995; p. 392. The counts per minute are obtained from the regions of interest drawn around the end-diastolic and end-systolic images. The counts in each region are then corrected for background. The formula for calculating the left ventricular ejection fraction is: net end-diastolic counts - net end-systolic counts × 100 LVEF = net end-diastolic counts 2875 cpm - 2162 cpm x 100 = 25% 2875 cpm"	"Source: Early and Sodee, 1995; pp. 207-210."	"Question photos/Questions/Exam 5/IMG_1161.jpeg"	"Question photos/Answers/Exam 5/IMG_1239.jpeg"	""	""	""
"exam5-009"	"5"	"9"	"Image Production"	"Image Production"	"calculation"	"5"	"The percentage left ventricular ejection fraction calculated from the net counts per minute shown here, is approximately:
end diastole 2875
end systole 2162"	"25%"	"13%"	"33%"	"100%"	"75%"	"0"	"25%"	"Left ventricular ejection fraction equals (end-diastolic counts minus end-systolic counts) divided by end-diastolic counts. (2875 - 2162) / 2875 is approximately 25%."	"Source photo: IMG_1240.jpeg."	"Question photos/Questions/Exam 5/IMG_1161.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-010"	"5"	"10"	"Radiopharmaceuticals"	"Infection Imaging"	"protocol"	"5"	"When a technologist cares for a patient who is not known to have a communicable disease, all of the following infection control measures should be implemented except:"	"wearing gloves when collecting a blood sample"	"decontaminating imaging equipment with an antiseptic"	"handwashing before and after the nuclear medicine examination"	"using a needle recapping device"	"maintaining aseptic technique when administering the radiopharmaceutical"	"1"	"decontaminating imaging equipment with an antiseptic"	"Standard precautions should be used routinely with all patients. These precautions include activities such as hand washing, wearing gloves, and recapping needles using a safety device. Decontaminating imaging equipment would be performed only if it came in contact with biological fluids from a patient or with a patient known to be infected with a communicable disease."	"Source: Adler and Carlton, 2003; pp. 195-197."	"Question photos/Questions/Exam 5/IMG_1162.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-011"	"5"	"11"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"1"	"Normal sinus rhythm is characterized by which of the following?
A. 60-100 beats/min
B. R wave occurs at constant intervals
C. PR interval 0.12-0.20 sec long"	"A and B only"	"A and C only"	"B and C only"	"A, B, and C"	"C only"	"3"	"A, B, and C"	"The characteristics of normal sinus rhythm as they appear on an ECG tracing are: (1) heart rate of 60-100 beats per minute, (2) R waves at regular intervals (variance of less than 0.12 sec), (3) P waves present and precede QRS complex, (4) PR interval between 0.12 and 0.20 sec long, and (5) QRS complex less than 0.12 sec."	"Source: English, et al., 1993; pp. 50-51."	"Question photos/Questions/Exam 5/IMG_1162.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-012"	"5"	"12"	"Image Production"	"Image Production"	"image-interpretation"	"5"	"After stress myocardial imaging with [201Tl] thallous chloride, 1-1.5 mCi of [201Tl] thallous chloride may be administered before rest myocardial imaging to:"	"improve patient throughput"	"demonstrate reversible ischemia more readily"	"demonstrate infarct size more precisely"	"minimize visualization of attenuation artifacts"	"maximize visualization of attenuation artifacts"	"1"	"demonstrate reversible ischemia more readily"	"Defects visualized on stress images are interpreted as myocardial ischemia if the defects fill in on the resting images. However, the rate of redistribution varies, and ischemic areas may not appear to have re-perfused by 4 hr. Administering a second, smaller dose of 201Tl before rest imaging provides additional tracer in the circulation that can be extracted into these areas, improving the image quality and identifying reversible ischemia."	"Source: Early and Sodee, 1995; p. 419."	"Question photos/Questions/Exam 5/IMG_1162.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-013"	"5"	"13"	"Clinical Procedures"	"Hepatobiliary Imaging"	"concept"	"3"	"If the gallbladder is not visualized within 60 min during hepatobiliary imaging, which of the following may be administered?"	"cimetidine"	"morphine"	"dobutamine"	"furosemide"	"adenosine"	"1"	"morphine"	"If the gallbladder is not visualized after 1 hr but tracer is seen in the common bile duct and small intestine, morphine may be administered. Morphine acts on the sphincter of Oddi, causing it to contract, thus increasing pressure in the common bile duct and causing tracer to flow into the gallbladder."	"Source: Mettler and Guiberteau, 1991; p. 200."	"Question photos/Questions/Exam 5/IMG_1162.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-014"	"5"	"14"	"Patient Care"	"Patient Care"	"concept"	"4"	"Preparation of the patient for Meckel's diverticulum localization includes:"	"administration of laxatives"	"oral or intravenous hydration"	"an enema immediately before imaging"	"fasting for at least 2 hr before imaging"	"an enema immediately after imaging"	"3"	"fasting for at least 2 hr before imaging"	"Bowel preparations are contraindicated before Meckel's diverticulum imaging because they irritate the intestinal mucosa, possibly causing a false-positive finding. It is recommended that patients fast for at least 2 hr before imaging to reduce stomach secretions that cause migration of [99mTc] pertechnetate from the stomach into the bowel."	"Source: Christian, et al., 2004; p. 569."	"Question photos/Questions/Exam 5/IMG_1162.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-015"	"5"	"15"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"5"	"Which of the following 99mTc-labeled agents is the preferred tracer for demonstrating intermittent gastrointestinal bleeding?"	"human serum albumin"	"lidofenin (HIDA)"	"red blood cells"	"sulfur colloid"	"macro aggregated albumin"	"2"	"red blood cells"	"Because [99mTc] sulfur colloid is cleared from the blood within 10-15 min after administration, it is preferred when the patient exhibits active The counts per minute are obtained from the regions of interest drawn gastrointestinal (GI) bleeding. In cases where the GI bleeding is interaround the end-diastolic and end-systolic images. The counts in each 99mTc-labeled red blood cells are preferred, mittent and unpredictable, region are then corrected for background. The formula for calculating because this tracer remains in the blood pool for an extended period that permits imaging up to 24 hr."	"Source: Early and Sodee, 1995; p. 517."	"Question photos/Questions/Exam 5/IMG_1162.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-016"	"5"	"16"	"Clinical Procedures"	"Renal Imaging"	"concept"	"1"	"Furosemide is sometimes administered during renal imaging to:"	"Rule out transplant rejection."	"Increase blood flow to the kidneys."	"Enhance tracer uptake in an abnormal kidney."	"Rule out ureteropelvic obstruction."	"Decrease blood flow to the kidneys."	"3"	"Rule out ureteropelvic obstruction."	"Furosemide is a diuretic that increases the production of urine. Activity retained in the collecting system or renal pelvis may indicate an obstruction in that area. Furosemide is used to wash out the activity with an increased production of urine. If the activity clears after the Standard precautions should be used routinely with all patients. These precautions include activities such as hand washing, wearing gloves, administration of furosemide, there is no obstruction. and recapping needles using a safety device. Decontaminating imaging equipment would be performed only if it came in contact with biolog-"	"Source: Christian, et al., 2004; p. 485."	"Question photos/Questions/Exam 5/IMG_1162.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-017"	"5"	"17"	"Instrumentation & QC"	"Renal Imaging"	"concept"	"2"	"Which of the following events is a normal response when furosemide is administered near the end of a renal function study?"	"The peak transit time of the radiopharmaceutical is elongated."	"Radioactivity is taken up into the renal cortex."	"Mechanical blockages in the renal collecting system are cleared."	"The peak transit time of the radiopharmaceutical is shortened."	"Radioactivity is cleared from the renal pelvis into the bladder."	"4"	"Radioactivity is cleared from the renal pelvis into the bladder."	"ical fluids from a patient or with a patient known to be infected with a Purosemide is a diuretic that increases the production of urine. Activity retained in the collecting system or renal pelvis may indicate an obstruction in that area. Furosemide is used to wash out the activity with an increased production of urine. If the activity clears after the The characteristics of normal sinus rhythm as they appear on an ECG administration of furosemide, there is no obstruction. Clearance of the tracing are: (1) heart rate of 60-100 beats per minute, (2) R waves at activity is the normal response. regular intervals (variance of less than 0.12 sec), (3) P waves present and precede QRS complex, (4) PR interval between 0.12 and 0.20 sec"	"Source: Christian, et al., 2004; p. 485."	"Question photos/Questions/Exam 5/IMG_1162.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-018"	"5"	"18"	"Image Production"	"SPECT"	"protocol"	"3"	"Early (6 hr after injection) 67Ga imaging should be performed if which of the following conditions is suspected?"	"sarcoma"	"osteomyelitis"	"lymphoma"	"bronchogenic carcinoma"	"chrondrosarcoma"	"1"	"osteomyelitis"	"67Ga imaging can be performed from 6 hr to 3 days or longer after tracer administration. When the examination is being performed for evalua- Defects visualized on stress images are interpreted as myocardial tion of an inflammatory process, early imaging (6 hr after injection) is indicated. ischemia if the defects fill in on the resting images. However, the rate of redistribution varies, and ischemic areas may not appear to have re-perfused by 4 hr. Administering a second, smaller dose of 201Tl before"	"Source: Early and Sodee, 1995; p. 703."	"Question photos/Questions/Exam 5/IMG_1162.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-019"	"5"	"19"	"Patient Care"	"Patient Care"	"concept"	"4"	"The most effective way of controlling the spread of infectious disease in a hospital setting is for the technologist to:"	"Wash hands both before and after patient contact."	"Wear gloves, mask, and hospital gown at all times."	"Stay home when ill."	"Maintain distance from each patient."	"Always wear a face mask."	"0"	"Wash hands both before and after patient contact."	"rest imaging provides additional tracer in the circulation that can be It is widely accepted that hand washing is considered to be the single extracted into these areas, improving the image quality and identifying most-effective way of preventing the spread of infection in a medical care facility. Mettler and Guiberteau, 1991; p. 200. If the gallbladder is not visualized after 1 hr but tracer is seen in the"	"Source: Adler and Carlton, 2003; p. 194."	"Question photos/Questions/Exam 5/IMG_1162.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-020"	"5"	"20"	"Clinical Procedures"	"Thyroid Imaging"	"concept"	"5"	"[111In] pentetreotide normally localizes in all of the following sites except:"	"pituitary gland"	"salivary glands"	"spleen"	"thyroid gland"	"liver"	"1"	"salivary glands"	"SNM Procedure Guidelines Committee, 2011. common bile duct and small intestine, morphine may be administered. Morphine acts on the sphincter of Oddi, causing it to contract, thus (111In pentetreotide normally localizes in the pituitary gland, thyroid increasing pressure in the common bile duct and causing tracer to flow gland, liver, spleen, bladder, and bowel."	"Source photo: Answers/Exam 5/IMG_1240.jpeg."	"Question photos/Questions/Exam 5/IMG_1162.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-021"	"5"	"21"	"Image Production"	"SPECT"	"concept"	"1"	"SPECT brain imaging may begin how soon after the administration of [99mTc] exametazime (HMPAO)?"	"immediately"	"1-2 hr"	"15-20 min"	"24 hr"	"48 hr"	"1"	"1-2 hr"	"SNM Procedure Guidelines Committee, 2011. Bowel preparations are contraindicated before Meckel's diverticulum For the best image quality, brain imaging with [99mTc] exametazime (HMPAO) imaging because they irritate the intestinal mucosa, possibly causing tracer. should begin no sooner than 90 min after the administration of the a false-positive finding. It is recommended that patients fast for at least 2 hr before imaging to reduce stomach secretions that cause migration d Christian, et al., 2004; p. 342. Normally, cerebral spinal fluid flows out of the lateral ventricles. Reversal of this flow (or reflux) and visualization of tracer in the lateral ventricles is an abnormal finding."	"Source photo: Answers/Exam 5/IMG_1240.jpeg."	"Question photos/Questions/Exam 5/IMG_1163.jpeg"	"Question photos/Answers/Exam 5/IMG_1240.jpeg"	""	""	""
"exam5-022"	"5"	"22"	"Clinical Procedures"	"Clinical Procedures"	"image-interpretation"	"3"	"Radioactivity is visualized in all of the following areas during a normal cisternographic study except the:"	"cerebral convexities"	"basal cisterns"	"central canal"	"lateral ventricles"	"subarachnoid space"	"3"	"lateral ventricles"	"Activity in the lateral ventricles is not expected during a normal cisternographic study and may indicate abnormal reflux or altered CSF flow."	"Source photo: IMG_1242.jpeg."	"Question photos/Questions/Exam 5/IMG_1163.jpeg"	"Question photos/Answers/Exam 5/IMG_1242.jpeg"	""	""	""
"exam5-023"	"5"	"23"	"Radiation Safety"	"Radiation Safety"	"concept"	"3"	"Patient preparation for instilling colloidal [32P] chromic phosphate into the peritoneal cavity includes which of the following?"	"surgical placement of a LeVeen shunt to remove excess peritoneal fluid"	"fasting for 8-12 hr before radiopharmaceutical administration"	"instructing the patient about isolation requirements"	"introducing [99mTc] sulfur colloid into the cavity to confirm that the 32P will disperse evenly"	"administering an antacid 2-4 hours before the procedure"	"3"	"introducing [99mTc] sulfur colloid into the cavity to confirm that the 32P will disperse evenly"	"Before instilling 32P into the peritoneal space, [99mTc] sulfur colloid is introduced to demonstrate that the agent will disperse throughout the cavity, thereby uniformly irradiating the peritoneal space."	"Source: Early and Sodee, 1995; p. 755."	"Question photos/Questions/Exam 5/IMG_1163.jpeg"	"Question photos/Answers/Exam 5/IMG_1242.jpeg"	""	""	""
